,$Name,$_PRimaryGroup,$Parent,$OpeningBalance,$ClosingBalance,$_PrevYearBalance,$IsRevenue,$PartyGSTIN,$MasterId,$AlterID,$Nature_Led,$UpdatedDate,$UpdatedTime,$CreatedBy,$CreatedDate,$AlteredDate,$AlteredBy,$LastVoucherDate,$CompanyName,$Year_from,$Year_to,$Company_number,$Path,$Amount,$Date,$VoucherNumber,$Type
10,1012010100/OTHER CASH AND BANK,Bank Accounts,Bank Accounts,-6383143.7,0.0,-6383143.7,0.0,,1428.0,13095.0,BS,,0.0,,,,,2024-11-04,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
11,1012010506/ECL Customs Wa(Froze,Current Assets,Current Assets,0.0,44797747.0,,0.0,,3769.0,16421.0,BS,2025-01-27,155216000.0,,,,,2024-11-04,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
12,1012010506/ECL Customs Wallet,Current Assets,Current Assets,-2927067.0,-44797747.0,-2927067.0,0.0,,2563.0,14185.0,BS,,0.0,,,,,2024-10-21,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
13,1012100001/OTHER CS & BA,Bank Accounts,Bank Accounts,0.0,-6383143.7,,0.0,,3766.0,16212.0,BS,2024-12-06,164703000.0,,,,,2024-11-04,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
14,1012100002/ECL Customs Wallet,Current Assets,Current Assets,0.0,-37500755.0,,0.0,,3768.0,16422.0,BS,2025-01-27,155220000.0,,,,,2025-01-29,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
15,1121020101/NOTES REC-OG-LC/AMPIN ENERGY TRANSITION PVT LTD,New Ledgers,New Ledgers,0.0,-18154752.0,,0.0,,3941.0,16470.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
16,1121020101/NOTES REC-OG-LC/AMPLUS KN ONE POWER PRIVATE LIMITED,New Ledgers,New Ledgers,0.0,-31429440.0,,0.0,,3925.0,16454.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
17,1121020101/NOTES REC-OG-LC/CLEAN MAX ENVIRO ENERGY SOLUTIONS P,New Ledgers,New Ledgers,0.0,-38850000.0,,0.0,,3935.0,16464.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
18,1121020101/NOTES REC-OG-LC/Enerparc Energy Pvt. Ltd.,New Ledgers,New Ledgers,0.0,-6182400.0,,0.0,,3943.0,16472.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
19,1121020101/NOTES REC-OG-LC/enrich Energy Pvt.Ltd,New Ledgers,New Ledgers,0.0,-8148300.0,,0.0,,3946.0,16475.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
20,1121020101/NOTES REC-OG-LC/Etrica Power,New Ledgers,New Ledgers,0.0,-101888840.0,,0.0,,3929.0,16458.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
21,1121020101/NOTES REC-OG-LC/ETRICA POWER LLP,New Ledgers,New Ledgers,0.0,-62549760.0,,0.0,,3936.0,16465.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
22,1121020101/NOTES REC-OG-LC/Fourth Partner Energy Private Limit,New Ledgers,New Ledgers,0.0,-4361280.0,,0.0,,3930.0,16459.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
23,1121020101/NOTES REC-OG-LC/GP Eco Solutions India Limited,New Ledgers,New Ledgers,0.0,-91832944.0,,0.0,,3927.0,16456.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
24,1121020101/NOTES REC-OG-LC/HARSHA ENGINEERS INTERNATIONAL LIMI,New Ledgers,New Ledgers,0.0,-31484133.25,,0.0,,3924.0,16453.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
25,1121020101/NOTES REC-OG-LC/HARTEK POWER PRIVATE LIMITED,New Ledgers,New Ledgers,0.0,-347374720.0,,0.0,,3948.0,16477.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
26,1121020101/NOTES REC-OG-LC/HERO ROOFTOP ENERGY PRIVATE LIMITED,New Ledgers,New Ledgers,0.0,-102576320.0,,0.0,,3937.0,16466.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
27,1121020101/NOTES REC-OG-LC/JAKSON GREEN PRIVATE LIMITED,New Ledgers,New Ledgers,0.0,-58423260.0,,0.0,,3923.0,16452.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
28,1121020101/NOTES REC-OG-LC/JUNIPER GREEN ENERGY PRIVATE LIMITE,New Ledgers,New Ledgers,0.0,-53862573.76,,0.0,,3949.0,16478.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
29,1121020101/NOTES REC-OG-LC/kirloskar Solar Technologies Pvt Lt,New Ledgers,New Ledgers,0.0,-7525056.0,,0.0,,3947.0,16476.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
30,1121020101/NOTES REC-OG-LC/Krivi-Tex Pvt. Ltd,New Ledgers,New Ledgers,0.0,-22930400.0,,0.0,,3931.0,16460.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
31,1121020101/NOTES REC-OG-LC/Mahindra Solarize Pvt. Ltd.,New Ledgers,New Ledgers,0.0,-17042820.0,,0.0,,3938.0,16467.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
32,1121020101/NOTES REC-OG-LC/O2 Power Private Limited,New Ledgers,New Ledgers,0.0,-227703168.0,,0.0,,3950.0,16479.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
33,1121020101/NOTES REC-OG-LC/ORIANA POWER PVT LTD,New Ledgers,New Ledgers,0.0,-13527360.0,,0.0,,3945.0,16474.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
34,1121020101/NOTES REC-OG-LC/ORNATE AGENCIES PRIVATE LIMITED,New Ledgers,New Ledgers,0.0,-10832640.0,,0.0,,3932.0,16461.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
35,1121020101/NOTES REC-OG-LC/Platinum Holdings Lanka(Pvt)Ltd,New Ledgers,New Ledgers,0.0,-3315910.4,,0.0,,3926.0,16455.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
36,1121020101/NOTES REC-OG-LC/PROJECT ELEVEN RENEWABLE POWER PVT,New Ledgers,New Ledgers,0.0,-164102400.0,,0.0,,3934.0,16463.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
37,1121020101/NOTES REC-OG-LC/Purshotam Profile Pvt. Ltd.,New Ledgers,New Ledgers,0.0,-25366544.0,,0.0,,3942.0,16471.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
38,1121020101/NOTES REC-OG-LC/ROOFSOL ENERGY Pvt Ltd,New Ledgers,New Ledgers,0.0,-9324000.0,,0.0,,3951.0,16480.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
39,1121020101/NOTES REC-OG-LC/Sanken Construction Pvt Ltd,New Ledgers,New Ledgers,0.0,-2094455.0,,0.0,,3944.0,16473.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
40,1121020101/NOTES REC-OG-LC/SOLARSQUARE ENERGY PRIVATE LIMITED,New Ledgers,New Ledgers,0.0,-36972880.0,,0.0,,3939.0,16468.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
41,1121020101/NOTES REC-OG-LC/Tata Power Renewable Energy Limited,New Ledgers,New Ledgers,0.0,-259261566.2,,0.0,,3933.0,16462.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
42,1121020101/NOTES REC-OG-LC/VAARTA INDIA INFOTECH PRIVATE LIMIT,New Ledgers,New Ledgers,0.0,-47992000.0,,0.0,,3940.0,16469.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
43,1121020101/NOTES REC-OG-LC/Waaree Renewable Technologies Limit,New Ledgers,New Ledgers,0.0,-17230814.72,,0.0,,3928.0,16457.0,BS,2025-02-12,163449000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
44,1122010099/TRADE  RECEIVABLE-IG-EXCHANGE REVALUATION,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1870.0,13535.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
45,1122010099/TRADE  RECEIVABLE - TDS ADJUSTMENT,Sundry Debtors,Sundry Debtors,3660706.0,3660706.0,3660706.0,0.0,,2540.0,14162.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
46,1122010099/TRADE REC-IG-EX,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2627.0,14249.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
47,1122010100/TRADE REC-IG/??????????,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,516.0,12770.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
48,1122010100/TRADE REC-IG/ADANI SLR ENR JMR ONE Pvt Ltd,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3354.0,15724.0,BS,2024-11-05,144414000.0,,,,,2024-05-21,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
49,1122010100/TRADE REC-IG/A KUMAR ENERGY,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3502.0,15725.0,BS,2024-11-05,144419000.0,,,,,2024-07-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
50,1122010100/TRADE REC-IG/Arken Solutions Private Limited,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3460.0,15726.0,BS,2024-11-05,144424000.0,,,,,2024-06-27,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
51,1122010100/TRADE REC-IG/ATHARVA URJA,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3459.0,15727.0,BS,2024-11-05,144428000.0,,,,,2024-06-27,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
52,1122010100/TRADE REC-IG/ATJ ENERGY,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3503.0,15728.0,BS,2024-11-05,144432000.0,,,,,2024-07-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
53,1122010100/TRADE REC-IG/MKU Holdings Private LimitedACME,Sundry Debtors,Sundry Debtors,-105890400.0,0.0,-105890400.0,0.0,,3280.0,14897.0,BS,,0.0,,,,,2024-10-19,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
54,1122010100/TRADE REC-IG/R K N ENERGY,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3498.0,15729.0,BS,2024-11-05,144436000.0,,,,,2024-07-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
55,1122010100/TRADE REC-IG/Sungrow (India) Private Limited,Sundry Debtors,Sundry Debtors,-54039198.48,-54039198.48,-54039198.48,0.0,,226.0,12480.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
56,"1122010100/TRADE REC-IG/SUNGROW POWER (HONG KONG) CO.,",Sundry Debtors,Sundry Debtors,0.0,,,0.0,,475.0,12729.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
57,1122010100/TRADE REC-IG/WATTNEXX PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3457.0,15730.0,BS,2024-11-05,144441000.0,,,,,2024-06-26,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
58,1122020099/TRADE REC-OG-EX,Sundry Debtors,Sundry Debtors,-94844.73,-172976.03,-94844.73,0.0,,260.0,12514.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
59,1122020100/CGST PAYABLE,Current Liabilities,GST,0.0,,,0.0,,2972.0,14593.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
60,1122020100/COST OF SALES-I/C-OG,Purchase Accounts,Purchase Accounts,0.0,,,1.0,,2974.0,14595.0,PL,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
61,1122020100/COST OF SALES -OG,Purchase Accounts,Purchase Accounts,0.0,,,1.0,,2973.0,14594.0,PL,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
62,1122020100/GOODS IN TRANSIT,Current Assets,Closing Stock,0.0,,,0.0,,2975.0,14596.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
63,1122020100/IGST PAYABLE,Current Liabilities,GST,0.0,,,0.0,,2976.0,14597.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
64,1122020100/SALES REV-Domestic,Sales Accounts,Sales Accounts,0.0,,,1.0,,2977.0,14598.0,PL,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
65,1122020100/Service Charges-OG,New Ledgers,New Ledgers,0.0,,,0.0,,2978.0,14599.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
66,1122020100/SGST PAYABLE,Current Liabilities,GST,0.0,,,0.0,,2979.0,14600.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
67,1122020100/Tally Sundry Debtors,Sundry Debtors,Sundry Debtors,143414.0,143414.0,143414.0,0.0,,3092.0,14713.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
68,1122020100/TRADE REC-OG/3S Solutions,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2769.0,14391.0,BS,,0.0,,,,,2024-12-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
69,1122020100/TRADE REC-OG/AB Energia Solutions Pvt. Ltd.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2141.0,13806.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
70,1122020100/TRADE REC-OG/Abhay Enterprises,Sundry Debtors,Sundry Debtors,0.0,31681.6,,0.0,,3702.0,15731.0,BS,2024-11-05,144445000.0,,,,,2024-11-05,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
71,1122020100/TRADE REC-OG/Abhimahan Energy Pvt. Ltd.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2925.0,14547.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
72,1122020100/TRADE REC-OG/ABHIMANHAN ENERGY PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,-26168800.0,0.0,-26168800.0,0.0,,3181.0,14798.0,BS,,0.0,,,,,2024-08-26,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
73,1122020100/TRADE REC-OG/ABLERS SERVICES PRIVATE LIMITEDABLE,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3461.0,15732.0,BS,2024-11-05,144450000.0,,,,,2024-11-27,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
74,1122020100/TRADE REC-OG/ABM ELECTRIC & ENGG. CO.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2867.0,14489.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
75,1122020100/TRADE REC-OG/Access Solar Technologies,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2443.0,14108.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
76,1122020100/TRADE REC-OG/Accura Trade Link Pvt Ltd.,Sundry Debtors,Sundry Debtors,-188759.01,7620.99,-188759.01,0.0,,1985.0,13650.0,BS,,0.0,,,,,2024-11-05,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
